671 1702 2191.0
672 538 -883.0
673 745 1921.0
675 862 5312.0
677 57 515.0
677 575 2676.0
678 1988 -511.0
679 43 4774.0
679 57 2792.0
679 594 6513.0
683 975 3441.0
684 1473 1657.0
686 1280 1543.0
687 1488 1131.0
689 917 614.0
690 1041 457.0
691 1955 2929.0
693 916 -1167.0
695 1836 -430.0
697 689 -1180.0
700 1049 8199.0
700 1617 1653.0
704 337 1233.0
704 1022 1116.0
704 1329 681.0
705 85 755.0
705 1329 1770.0
705 1330 2627.0
705 1331 52.0
706 1330 65.0
706 1816 5806.0
708 903 -1245.0
708 1430 570.0
709 131 -616.0
712 1996 2640.0
714 802 917.0
714 1021 934.0
716 522 -1096.0
717 523 -1137.0
717 525 1712.0
718 1525 2751.0
719 426 750.0
721 1496 4946.0
723 714 1930.0
726 241 1244.0
727 690 -1164.0
729 1685 632.0
731 625 1071.0
731 1585 -406.0
732 50 4885.0
732 867 -1001.0
734 740 631.0
734 1229 2107.0
735 1310 -836.0
736 600 -722.0
742 1474 466.0
745 638 -1097.0
750 530 825.0
752 1050 878.0
753 897 -1091.0
755 992 -1208.0
758 1433 -1431.0
761 1015 890.0
761 1703 1731.0
762 388 1461.0
762 1704 18.0
763 1574 3044.0
764 1306 903.0
764 1371 584.0
765 543 -859.0
766 365 1688.0
768 888 -1419.0
768 2037 6480.0
771 40 -472.0
772 1193 611.0
774 1358 -895.0
776 1117 -1268.0
777 870 2683.0
778 508 -2025.0
778 623 442.0
780 55 4030.0
784 560 -926.0
785 1910 -572.0
787 835 618.0
787 1271 -1430.0
787 1836 4381.0
788 884 -1004.0
789 1232 -657.0
790 67 1915.0
790 1040 -740.0
791 284 1035.0
791 1592 1707.0
792 1103 -841.0
793 1986 2019.0
796 1491 2651.0
799 200 2997.0
800 408 2603.0
802 907 961.0
803 336 -1068.0
803 922 1722.0
803 1459 2542.0
804 1059 1175.0
804 1449 2232.0
805 713 -976.0
810 916 3975.0
810 1163 562.0
810 1343 598.0
811 920 -1361.0
812 1246 2343.0
814 1067 742.0
815 199 5058.0
816 90 1203.0
816 1166 -791.0
818 325 1613.0
820 1496 436.0
821 2002 520.0
825 1094 1904.0
825 1780 2316.0
825 2023 853.0
826 1257 618.0
827 887 1007.0
827 1831 619.0
827 1860 633.0
829 1206 -736.0
829 1584 3161.0
831 1516 -1119.0
832 1649 3401.0
833 1388 -814.0
833 1906 4666.0
834 833 -1012.0
834 1677 2388.0
834 1907 164.0
836 584 2890.0
840 485 1900.0
842 1680 1298.0
844 1390 1518.0
846 1023 2292.0
846 1253 632.0
846 1718 1715.0
847 772 2062.0
849 511 -500.0
849 2038 1362.0
850 810 4104.0
852 1355 8080.0
857 1983 448.0
861 1970 -394.0
861 2023 2778.0
862 1585 3818.0
866 705 -842.0
866 1212 -1086.0
868 1035 -1184.0
871 1433 1319.0
872 1431 3249.0
873 408 493.0
873 1382 1472.0
874 1795 2470.0
875 614 -863.0
879 1368 2900.0
880 130 696.0
881 464 641.0
883 1251 6648.0
884 234 3144.0
885 572 3037.0
885 1335 3801.0
886 592 -1046.0
886 753 3063.0
887 647 -857.0
892 188 2875.0
898 1560 4107.0
899 1884 -435.0
900 1291 782.0
902 898 -785.0
902 1715 1359.0
904 369 -826.0
907 252 2131.0
907 1548 657.0
912 973 688.0
913 964 456.0
919 163 -529.0
919 895 -1004.0
920 620 564.0
922 1125 2408.0
923 1439 613.0
924 870 -1200.0
924 1098 529.0
924 1202 -844.0
932 324 -3741.0
932 1178 1846.0
938 829 832.0
940 1573 8479.0
940 1973 1202.0
941 925 2349.0
943 1994 1036.0
946 1386 -578.0
948 941 1837.0
948 1628 781.0
949 316 2067.0
950 1699 3762.0
951 1179 2912.0
955 1422 2460.0
957 127 1336.0
957 1299 423.0
957 1623 2125.0
958 538 540.0
959 538 -415.0
964 832 4027.0
966 1266 652.0
968 929 -941.0
971 634 4755.0
971 1321 1408.0
974 2026 1659.0
977 1070 5148.0
977 1110 2631.0
977 1269 837.0
980 341 912.0
980 1044 1261.0
981 988 4261.0
982 2015 1493.0
987 696 1447.0
987 870 -1188.0
988 429 5193.0
991 680 -961.0
995 999 3195.0
995 1037 1856.0
1000 748 2320.0
1002 673 982.0
1002 1144 1086.0
1002 1156 429.0
1003 1398 1634.0
1003 1781 2565.0
1004 1200 -524.0
1005 500 2810.0
1005 713 4139.0
1007 968 1022.0
1009 1018 -1126.0
1012 1956 3143.0
1013 831 2436.0
1014 748 1063.0
1014 1351 -1110.0
1015 1248 3797.0
1015 1455 1890.0
1016 855 -690.0
1016 1758 3120.0
1017 177 3043.0
1017 874 -758.0
1018 940 2121.0
1018 1107 796.0
1019 349 -673.0
1025 336 -1249.0
1028 982 1670.0
1028 1397 1515.0
1034 1028 2275.0
1036 900 -1151.0
1036 2040 1379.0
1038 234 -1006.0
1039 1370 -757.0
1041 828 639.0
1044 1004 1190.0
1045 883 -1108.0
1046 1528 -1245.0
1047 1107 -845.0
1048 6 -508.0
1049 452 433.0
1049 1761 2425.0
1054 89 953.0
1056 163 3190.0
1057 1461 2390.0
1057 1755 493.0
1059 1052 -686.0
1059 1605 2401.0
1060 839 503.0
1061 1728 2339.0
1063 1202 1444.0
1063 1387 -1049.0
1065 1942 712.0
1066 102 3224.0
1067 257 3020.0
1070 876 1136.0
1072 1991 1130.0
1081 580 -920.0
1081 581 -602.0
1081 613 -1267.0
1082 580 -748.0
1082 1443 1826.0
1082 1864 -403.0
1082 1865 -408.0
1083 867 491.0
1084 1251 1584.0
1085 1369 -688.0
1085 1642 8351.0
1085 1863 1706.0
1085 1868 1463.0
1085 2043 -559.0
1086 331 2694.0
1086 1866 -493.0
1089 1577 1378.0
1092 674 -959.0
1092 1939 4497.0
1098 1617 1370.0
1099 71 3565.0
1099 1304 2188.0
1100 1417 3090.0
1100 1499 1447.0
1103 1293 493.0
1104 1188 833.0
1106 1497 2695.0
1108 785 2737.0
1108 1976 539.0
1109 14 2497.0
1109 1286 -834.0
1113 1178 1750.0
1117 711 2182.0
1117 1669 2876.0
1118 1650 435.0
1120 1579 -745.0
1121 1490 3364.0
1124 447 -980.0
1124 561 534.0
1128 480 5199.0
1128 880 632.0
1129 1578 1891.0
1131 996 925.0
1135 581 4194.0
1142 406 1162.0
1144 1133 3018.0
1144 1667 1126.0
1145 657 -1007.0
1148 466 -844.0
1150 994 2572.0
1150 1359 -1170.0
1151 1219 4348.0
1157 1115 2513.0
1160 1272 1083.0
1162 1313 -839.0
1163 790 4071.0
1163 1073 -1223.0
1163 1256 -899.0
1165 921 -952.0
1169 1363 1148.0
1170 670 -926.0
1170 1714 -539.0
1172 1257 900.0
1173 1437 536.0
1173 1513 3931.0
1175 1009 -1505.0
1177 786 -1332.0
1178 777 857.0
1179 1950 4018.0
1181 989 -585.0
1182 40 1818.0
1183 255 2188.0
1185 1603 3203.0
1185 1724 1063.0
1195 968 3086.0
1196 969 11.0
1199 15 554.0
1201 1808 1009.0
1202 441 4211.0
1203 286 481.0
1207 1223 -1232.0
1207 1544 783.0
1208 589 -625.0
1210 1670 466.0
1211 990 2401.0
1213 1095 -1473.0
1213 1361 1504.0
1213 1404 517.0
1218 1644 948.0
1218 2004 -428.0
1220 1027 1257.0
1221 674 928.0
1222 165 461.0
1223 732 1960.0
1225 1134 1202.0
1229 415 2472.0
1230 1219 4232.0
1231 829 3794.0
1233 52 2360.0
1233 649 4573.0
1233 1173 -813.0
1234 788 -1257.0
1235 1691 2315.0
1238 809 1645.0
1239 1217 -1183.0
1241 753 1452.0
1242 1950 -531.0
1244 95 1064.0
1244 1773 2518.0
1245 27 882.0
1245 1372 2549.0
1246 293 -899.0
1247 1125 -864.0
1247 1921 863.0
1247 1953 1509.0
1248 1100 1252.0
1249 999 2309.0
1250 2035 917.0
1251 1942 2461.0
1251 1944 2661.0
1251 1947 1158.0
1252 1945 3436.0
1252 1953 2297.0
1253 1947 -481.0
1258 873 -1239.0
1259 1397 2347.0
1260 1632 3097.0
1261 602 -581.0
1261 1531 -1522.0
1262 972 1615.0
1266 1052 -819.0
1267 1483 2991.0
1267 1944 -424.0
1270 313 1157.0
1272 105 3640.0
1273 1660 527.0
1273 1847 1928.0
1274 449 642.0
1274 1994 -404.0
1276 468 920.0
1277 1610 1857.0
1278 1860 2464.0
1280 1174 -1168.0
1282 1639 1657.0
1284 979 3425.0
1285 35 1102.0
1291 654 6002.0
1292 183 -579.0
1292 1024 734.0
1293 2035 -749.0
1296 1437 -809.0
1296 1705 1515.0
1298 2023 3476.0
1300 1510 2308.0
1303 1868 2149.0
1305 1004 3747.0
1305 1321 2068.0
1307 256 -501.0
1307 1792 2431.0
1310 209 4908.0
1313 25 3335.0
1315 541 1337.0
1315 1351 5668.0
1316 827 4367.0
1316 834 -979.0
1321 427 1332.0
1323 1771 1799.0
1325 274 3543.0
1326 843 -914.0
1327 1733 1142.0
1328 25 4430.0
1328 159 4420.0
1334 4 2098.0
1335 1335 -860.0
1336 172 2067.0
1342 33 574.0
1346 351 695.0
1348 1363 3707.0
1348 1515 2875.0
1349 486 1696.0
1351 1818 1174.0
1354 1383 1381.0
1355 1504 2276.0
1357 1029 -1530.0
1359 619 2015.0
1361 1454 694.0
1362 322 2366.0
1363 1112 -854.0
1364 278 2467.0
1366 458 -581.0
1367 1196 -1164.0
1368 967 -933.0
1369 274 1191.0
1369 1317 -923.0
1376 378 2129.0
1379 15 861.0
1380 773 644.0
1381 41 2121.0
1383 421 1271.0
1385 1110 -913.0
1387 1859 2165.0
1388 1084 -550.0
1390 1397 434.0
1394 62 466.0
1394 740 532.0
1400 621 -706.0
1402 659 960.0
1402 1059 904.0
1403 1144 568.0
1406 1780 -538.0
1407 1054 886.0
1409 885 739.0
1410 2031 811.0
1416 1011 2019.0
1417 1214 2854.0
1418 677 -390.0
1420 742 1346.0
1421 1906 755.0
1426 735 2250.0
1430 412 1847.0
1432 27 1112.0
1432 409 -781.0
1433 1217 466.0
1434 784 1634.0
1435 6 -509.0
1447 2002 2844.0
1450 1710 629.0
1456 1269 8005.0
1456 1837 804.0
1460 847 4139.0
1461 1527 1013.0
1462 416 2067.0
1464 1034 713.0
1467 1184 -1115.0
1468 1919 2633.0
1469 1221 2093.0
1471 970 920.0
1477 1737 2206.0
1477 1910 -457.0
1480 713 1364.0
1480 1590 1848.0
1481 157 932.0
1481 713 3981.0
1481 714 838.0
1481 715 42.0
1482 714 33.0
1483 1192 -901.0
1486 170 1399.0
1488 1198 1123.0
1496 1999 1689.0
1499 137 790.0
1499 1896 1248.0
1500 138 3927.0
1506 1527 2470.0
1507 1526 4990.0
1507 1527 130.0
1509 154 880.0
1509 322 2169.0
1510 1333 968.0
1511 194 -832.0
1511 998 -1629.0
1513 1448 -1388.0
1514 687 -685.0
1516 263 -924.0
1516 1919 839.0
1518 1389 3154.0
1520 610 799.0
1529 451 1543.0
1529 547 1571.0
1530 1013 473.0
1531 488 -1139.0
1538 746 2138.0
1539 947 618.0
1539 1692 3249.0
1540 1693 70.0
1540 1762 2496.0
1541 1373 1139.0
1542 1032 3223.0
1543 459 -667.0
1543 929 3737.0
1543 1106 1877.0
1549 784 4582.0
1550 859 2487.0
1553 1558 1429.0
1554 46 4511.0
1565 1040 803.0
1565 1307 -1523.0
1568 1119 3037.0
1569 202 3240.0
1571 1950 2892.0
1572 389 1410.0
1575 183 639.0
1575 1459 2144.0
1576 325 -436.0
1576 1461 -1351.0
1576 1561 2051.0
1577 324 -700.0
1577 1464 4171.0
1577 1492 -1042.0
1578 5 2113.0
1582 1748 721.0
1583 612 1158.0
1583 1508 5741.0
1584 1867 2474.0
1586 1771 469.0
1588 132 596.0
1589 132 -2585.0
1589 1779 998.0
1592 1467 -846.0
1596 850 4391.0
1601 1888 2380.0
1602 188 -1266.0
1602 275 2019.0
1603 1140 861.0
1604 1142 711.0
1606 475 1118.0
1606 1924 -574.0
1610 1215 -516.0
1610 1436 976.0
1611 985 2813.0
1613 638 -561.0
1613 1761 1377.0
1614 1895 3116.0
1615 721 2730.0
1616 487 1596.0
1616 1922 1173.0
1622 635 1700.0
1623 1042 -691.0
1625 143 4198.0
1628 268 1165.0
1630 473 2384.0
1631 2035 -579.0
1636 893 1259.0
1636 1269 2130.0
1640 568 3507.0
1641 1568 3106.0
1644 562 -647.0
1650 2029 720.0
1653 1653 1293.0
1655 597 -922.0
1656 126 1054.0
1661 581 470.0
1664 1109 3195.0
1664 1237 522.0
1669 896 5221.0
1670 1545 703.0
1674 571 1075.0
1679 1496 2168.0
1683 1353 483.0
1684 1676 572.0
1687 227 3426.0
1689 330 3046.0
1690 988 3726.0
1691 1130 2034.0
1691 1398 -997.0
1692 1997 1155.0
1693 622 1004.0
1697 2004 765.0
1701 1866 2146.0
1702 633 1404.0
1703 229 3325.0
1705 220 800.0
1711 1773 3276.0
1714 1419 -1283.0
1715 106 2217.0
1715 1091 1039.0
1715 1526 8715.0
1720 47 2295.0
1720 593 543.0
1730 1972 842.0
1731 1952 472.0
1732 2020 4233.0
